kind	class	method	param	index	path	tool
METHOD	org.jczh.appliedxml.ArrayTypeAdapterFactory	create(org.jczh.appliedxml.Serializer,com.google.gsoncode.internal.TypeToken)	nan	nan	url400631cdd0_ludaiqian_appliedxml_tgz-pJ8-test_simples_TestJ8/src/org/jczh/appliedxml/ArrayTypeAdapterFactory.java	!nullgtn
PARAMETER	org.ejml.interfaces.decomposition.QRPDecomposition	getPivotMatrix(org.ejml.data.DenseMatrix64F)	P	0	url882f91ec97_WenboCao_Microsoft_Drone_tgz-pJ8-org_ejml_alg_dense_decomposition_qr_StabilityQRDecompositionJ8/src/org/ejml/interfaces/decomposition/QRPDecomposition.java	!nullgtn
FIELD	com.iconmaster.hppplus.parse.element.block.ElementFunction	nan	name	nan	urle27f76cced_iconmaster5326_HPPPlus_tgz-pJ8-com_iconmaster_hppplus_HPPPlusJ8/src/com/iconmaster/hppplus/parse/element/block/ElementFunction.java	!nullgtn
FIELD	patterns.gof.behavioral.memento.Originator	nan	state	nan	url52422c4052_AtorVdm_Patterns_tgz-pJ8-patterns_MainJ8/src/patterns/gof/behavioral/memento/Originator.java	!nullgtn
PARAMETER	com.fuzzylite.rule.Consequent	modify(double,com.fuzzylite.norm.TNorm)	activation	1	url90b6689baa_adsonrocha_PD321_tgz-pJ8-MyFuzzyLiteClassJ8/src/com/fuzzylite/rule/Consequent.java	!nullgtn
METHOD	net.jcores.script.output.Output	parameter(java.lang.Class,java.lang.String)	nan	nan	url70ed135da7_ralfbiedert_jcores_tgz-pJ8-sandbox_SimpleFilterTestJ8/src/net/jcores/script/output/Output.java	!nullgtn
FIELD	expression.DirkExpParser$stringLiteral_return	nan	tree	nan	url3c955055f0_dirkzhang_antlr_expressionEngine_tgz-pJ8-expression_DirkExpTestJ8/src/expression/DirkExpParser.java	!nullgtn
METHOD	uk.ac.leeds.ccg.andyt.generic.io.AbstractDataHandler	get_Directory()	nan	nan	url64d634b8f0_agdturner_generic_tgz-pJ8-uk_ac_leeds_ccg_andyt_generic_visualisation_charts_Generic_BarChartJ8/src/uk/ac/leeds/ccg/andyt/generic/io/AbstractDataHandler.java	!nullgtn
METHOD	rpg.creature.Anchor	getName()	nan	nan	url55e48746be_isostorm_RPGame_tgz-pJ8-rpg_MainJ8/src/rpg/creature/Anchor.java	!nullgtn
METHOD	com.google.gsoncode.internal.LinkedTreeMap	parentOf(com.google.gsoncode.internal.LinkedTreeMap.TreeNode)	nan	nan	url400631cdd0_ludaiqian_appliedxml_tgz-pJ8-test_simples_TestJ8/src/com/google/gsoncode/internal/LinkedTreeMap.java	!nullgtn
FIELD	net.xeoh.plugins.base.impl.registry.PluginClassMetaInformation	nan	pluginOrigin	nan	url5a01f2c1d9_core9_core_tgz-pJ8-io_core9_core_boot_BootstrapFrameworkJ8/src/net/xeoh/plugins/base/impl/registry/PluginClassMetaInformation.java	!nullgtn
METHOD	com.mxgraph.view.mxGraph	removeCells()	nan	nan	url20b0f880a5_jgraph_legacy_jgraph5_tgz-pJ8-org_jgraph_example_HelloWorldJ8/src/com/mxgraph/view/mxGraph.java	!nullgtn
FIELD	zz.config.ZZConfig	nan	loaclFileDir	nan	url0d084b4168_zhourui392_BaiduPicDown_tgz-pJ8-org_json_TestJ8/src/zz/config/ZZConfig.java	!nullgtn
PARAMETER	littlemangame.notebookdeveloper.gui.NotebookEditorPanel	setProblemDescription(java.lang.String)	problemDescription	0	url78117c6033_BrianMoths_LittleManManager_tgz-pJ8-littlemangame_LittleManGameJ8/src/littlemangame/notebookdeveloper/gui/NotebookEditorPanel.java	!nullgtn
FIELD	xscript.compiler.tree.XTree$XTreeFunc	nan	name	nan	url5583f3dbb2_XOR19_XScript_tgz-pJ8-xscript_interactive_MainJ8/src/xscript/compiler/tree/XTree.java	!nullgtn
FIELD	com.usps.evs.vo.SampleWorkAroundVO	nan	routingBarcode	nan	urld025f21ac3_mvattipulusu_Innovation2013_tgz-pJ8-com_usps_data_ManifestFileTestJ8/src/com/usps/evs/vo/SampleWorkAroundVO.java	!nullgtn
METHOD	org.jczh.appliedxml.MapTypeAdapterFactory$Adapter	read(org.jczh.appliedxml.XmlReader)	nan	nan	url400631cdd0_ludaiqian_appliedxml_tgz-pJ8-test_simples_TestJ8/src/org/jczh/appliedxml/MapTypeAdapterFactory.java	!nullgtn
METHOD	com.fidelis.argface.ArgUtil	camelCase(java.lang.String)	nan	nan	url27db8982cd_leohinterlang_argFace_tgz-pJ8-com_fidelis_argface_ArgSampleJ8/src/com/fidelis/argface/ArgUtil.java	!nullgtn
PARAMETER	org.jgraph.graph.DefaultGraphModel	edit(java.lang.Object[],java.lang.Object[],java.util.Map,org.jgraph.graph.ConnectionSet,org.jgraph.graph.ParentMap,javax.swing.undo.UndoableEdit[])	cs	3	url20b0f880a5_jgraph_legacy_jgraph5_tgz-pJ8-org_jgraph_example_HelloWorldJ8/src/org/jgraph/graph/DefaultGraphModel.java	!nullgtn
FIELD	xscript.compiler.tree.XTree$XTreeFor	nan	body	nan	url5583f3dbb2_XOR19_XScript_tgz-pJ8-xscript_interactive_MainJ8/src/xscript/compiler/tree/XTree.java	!nullgtn
FIELD	cz.mff.dpp.args.examples.HelpTest$HelpTestOptions	nan	list	nan	url8752fbdeb0_sixtam_args_tgz-pJ8-cz_mff_dpp_args_examples_ConstraintTestJ8/src/cz/mff/dpp/args/examples/HelpTest.java	!nullgtn
PARAMETER	Instrucoes.Instrucao	setInstrucaoDesvio(Instrucoes.Instrucao)	instrucaoDesvio	0	url9d1719148e_mrqsdavi_pegmachine_tgz-pJ8-peg_RegexJ8/src/Instrucoes/Instrucao.java	!nullgtn
METHOD	org.maltparser.core.syntaxgraph.DependencyGraph	moveDependencyEdge(int,int)	nan	nan	url80e39b1957_tobikster_IJN_headers_recognition_tgz-pJ8-org_maltparser_examples_CreatePhraseStructureGraphJ8/src/org/maltparser/core/syntaxgraph/DependencyGraph.java	!nullgtn
METHOD	org.zeromq.ZMsg	removeFirst()	nan	nan	url7b90c1010b_DastanIqbal_HelloZMQwithJava_tgz-pJ8-ClientJ8/src/org/zeromq/ZMsg.java	!nullgtn
FIELD	ch2.troll.Troll	nan	state	nan	urlcc19a18863_born2snipe_Programming_Game_AI_tgz-pJ8-ch2_msg_MiningTestJ8/src/ch2/troll/Troll.java	!nullgtn
METHOD	com.gesoftware.venta.network.SafeServer$ServerHandler	onReceive(java.lang.String,com.gesoftware.venta.network.model.Message)	nan	nan	urlc98c3b97d2_Trimax_venta_tgz-pJ8-com_gesoftware_venta_structures_map_MapTestJ8/src/com/gesoftware/venta/network/SafeServer.java	!nullgtn
METHOD	com.google.gsoncode.internal.ConstructorConstructor	newDefaultImplementationConstructor(java.lang.reflect.Type,java.lang.Class)	nan	nan	url400631cdd0_ludaiqian_appliedxml_tgz-pJ8-test_simples_TestJ8/src/com/google/gsoncode/internal/ConstructorConstructor.java	!nullgtn
PARAMETER	org.quartz.core.SimpleThreadPool$WorkerThread	WorkerThread(org.quartz.core.SimpleThreadPool,java.lang.ThreadGroup,java.lang.String,int,boolean,java.lang.Runnable)	runnable	5	url7f729337e3_timmolter_Sundial_tgz-pJ8-org_knowm_sundial_SampleRunJ8/src/org/quartz/core/SimpleThreadPool.java	!nullgtn
FIELD	pl.cc.ProxyHandler	nan	connectedAgent	nan	url2df0f7c811_przemekgalazka_legacycode_tgz-pJ8-pl_cc_core_cmd_CommandJ8/src/pl/cc/ProxyHandler.java	!annotator
FIELD	org.maltparser.parser.guide.decision.BranchedDecisionModel	nan	modelName	nan	url80e39b1957_tobikster_IJN_headers_recognition_tgz-pJ8-org_maltparser_examples_CreatePhraseStructureGraphJ8/src/org/maltparser/parser/guide/decision/BranchedDecisionModel.java	!nullgtn
PARAMETER	com.kokakiwi.mclauncher.core.launcher.ModsManager$Mod	Mod(java.lang.String,java.lang.String,java.net.URL)	url	2	urlbd77b745af_KokaKiwi_MCLauncher_tgz-pJ8-net_contrapunctus_lzma_BenchmarkJ8/src/com/kokakiwi/mclauncher/core/launcher/ModsManager.java	!nullgtn
FIELD	net.hetimatan.util.bitfield.FastBitField	nan	mIndex	nan	url0e7d57473a_kyorohiro_HetimaUtil_tgz-pJ8-net_hetimatan_net_http_HttpServer3xxJ8/src/net/hetimatan/util/bitfield/FastBitField.java	!annotator
PARAMETER	org.knowm.xchart.internal.chartpart.AxisTickCalculator_Category	AxisTickCalculator_Category(org.knowm.xchart.internal.chartpart.Axis.Direction,double,java.util.List,org.knowm.xchart.internal.chartpart.Axis.AxisDataType,org.knowm.xchart.style.AxesChartStyler)	axisType	3	url89849c8c5b_timmolter_XChart_tgz-pJ8-org_knowm_xchart_standalone_Example1J8/src/org/knowm/xchart/internal/chartpart/AxisTickCalculator_Category.java	!nullgtn
FIELD	Game_World.GameEngine	nan	xmlFile	nan	urlb44e9843ba_QuasimodoNZ_SWEN222_Game_Project_tgz-pJ8-Game_World_GameWorldLevelBuilderJ8/src/Game_World/GameEngine.java	!nullgtn
PARAMETER	de.odysseus.el.tree.impl.ast.AstBracket	getProperty(de.odysseus.el.tree.Bindings,javax.el.ELContext)	context	1	url4fdf79ae2c_beckchr_juel_tgz-pJ8-de_odysseus_el_samples_xml_sax_XMELFilterJ8/src/de/odysseus/el/tree/impl/ast/AstBracket.java	!nullgtn
PARAMETER	br.edu.ufcg.lsd.oursim.events.broker.AddJobEvent	parseJob(java.lang.String)	jobJsonStr	0	urlb5d5be4365_abmargb_oursim_ext_tgz-pJ8-br_edu_ufcg_lsd_oursim_experiments_RemoteNoFScenarioGeneratorJ8/src/br/edu/ufcg/lsd/oursim/events/broker/AddJobEvent.java	!nullgtn
FIELD	minewebsocket.org.java_websocket.client.WebSocketClient	nan	ostream	nan	url6544f14c72_charles_d_burton_java_websocket_example_tgz-pJ8-minewebsocket_MineWebSocketJ8/src/minewebsocket/org/java_websocket/client/WebSocketClient.java	!nullgtn
PARAMETER	edu.luc.nmerge.graph.suffixtree.SuffixTree	connectSiblings(edu.luc.nmerge.graph.suffixtree.Node,edu.luc.nmerge.graph.suffixtree.Node)	leftSib	0	url294e6c45f3_Ecdosis_NMergeNew_tgz-pJ8-TestJ8/src/edu/luc/nmerge/graph/suffixtree/SuffixTree.java	!nullgtn
PARAMETER	javax.el.ResourceBundleELResolver	isReadOnly(javax.el.ELContext,java.lang.Object,java.lang.Object)	base	1	url4fdf79ae2c_beckchr_juel_tgz-pJ8-de_odysseus_el_samples_xml_sax_XMELFilterJ8/src/javax/el/ResourceBundleELResolver.java	!nullgtn
METHOD	pl.cc.core.cmd.EventCallTag	getAgent()	nan	nan	url2df0f7c811_przemekgalazka_legacycode_tgz-pJ8-pl_cc_core_cmd_CommandJ8/src/pl/cc/core/cmd/EventCallTag.java	!nullgtn
PARAMETER	org.ejml.alg.block.decomposition.chol.CholeskyOuterForm_B64	getT(org.ejml.data.BlockMatrix64F)	T	0	url882f91ec97_WenboCao_Microsoft_Drone_tgz-pJ8-org_ejml_alg_dense_decomposition_qr_StabilityQRDecompositionJ8/src/org/ejml/alg/block/decomposition/chol/CholeskyOuterForm_B64.java	!nullgtn
METHOD	es.uc3m.eda.list.singlelink.ISListIterator	getCurrentNode()	nan	nan	url3ed4973106_kosmasK_RecordPlayer_tgz-pJ8-es_uc3m_recordplayer_test_TestJ8/src/es/uc3m/eda/list/singlelink/ISListIterator.java	!nullgtn
FIELD	com.gengweibo.weibo.Response	nan	method	nan	url24d793285d_auzll_gengweibo_tgz-pJ8-org_json_TestJ8/src/com/gengweibo/weibo/Response.java	!nullgtn
METHOD	org.maltparser.core.syntaxgraph.node.NonTerminal	rightmostNonTerminalChild()	nan	nan	url80e39b1957_tobikster_IJN_headers_recognition_tgz-pJ8-org_maltparser_examples_CreatePhraseStructureGraphJ8/src/org/maltparser/core/syntaxgraph/node/NonTerminal.java	!nullgtn
METHOD	com.jgraph.navigation.GraphNavigator	getCurrentGraph()	nan	nan	url20b0f880a5_jgraph_legacy_jgraph5_tgz-pJ8-org_jgraph_example_HelloWorldJ8/src/com/jgraph/navigation/GraphNavigator.java	!nullgtn
PARAMETER	org.maltparser.core.syntaxgraph.reader.NegraReader	open(java.io.InputStream,java.lang.String)	charsetName	1	url80e39b1957_tobikster_IJN_headers_recognition_tgz-pJ8-org_maltparser_examples_CreatePhraseStructureGraphJ8/src/org/maltparser/core/syntaxgraph/reader/NegraReader.java	!nullgtn
PARAMETER	ar.fiuba.tecnicas.framework.JTest.TestReport	print(java.lang.String)	messsage	0	url633772aa30_isma3l_Tp2_tgz-pJ8-ar_fiuba_tecnicas_framework_Pruebas_Casos1_MainJ8/src/ar/fiuba/tecnicas/framework/JTest/TestReport.java	!nullgtn
PARAMETER	chess.Position	setPieceAt(chess.piece.Piece,chess.ChessCoord)	coord	1	url0980c8326f_TobiasScharnowski_Chess_tgz-pJ8-chess_StartJ8/src/chess/Position.java	!annotator
PARAMETER	org.maltparser.core.syntaxgraph.reader.BracketReader	bracketing(org.maltparser.core.syntaxgraph.PhraseStructure,int,int,org.maltparser.core.syntaxgraph.node.PhraseStructureNode)	parent	3	url80e39b1957_tobikster_IJN_headers_recognition_tgz-pJ8-org_maltparser_examples_CreatePhraseStructureGraphJ8/src/org/maltparser/core/syntaxgraph/reader/BracketReader.java	!nullgtn
METHOD	com.usps.evs.vo.SampleWorkAroundVO	getDiscountCodeReqd()	nan	nan	urld025f21ac3_mvattipulusu_Innovation2013_tgz-pJ8-com_usps_data_ManifestFileTestJ8/src/com/usps/evs/vo/SampleWorkAroundVO.java	!nullgtn
PARAMETER	de.odysseus.el.tree.impl.ast.AstMethod	appendStructure(java.lang.StringBuilder,de.odysseus.el.tree.Bindings)	bindings	1	url4fdf79ae2c_beckchr_juel_tgz-pJ8-de_odysseus_el_samples_xml_sax_XMELFilterJ8/src/de/odysseus/el/tree/impl/ast/AstMethod.java	!nullgtn
PARAMETER	risiko.board.impl.CountryImpl	basicSetContinent(risiko.board.Continent,org.eclipse.emf.common.notify.NotificationChain)	msgs	1	url70997c83aa_Xilaew_risiko_tgz-pJ8-risiko_XMI2XMLtransformerJ8/src/risiko/board/impl/CountryImpl.java	!nullgtn
FIELD	de.jannlab.training.GradientDescent	nan	dweightslast	nan	url5997ccb760_JANNLab_JANNLab_tgz-pJ8-de_jannlab_examples_recurrent_SequentialXorExampleJ8/src/de/jannlab/training/GradientDescent.java	!annotator
FIELD	com.mxgraph.model.mxGeometry	nan	sourcePoint	nan	url20b0f880a5_jgraph_legacy_jgraph5_tgz-pJ8-org_jgraph_example_HelloWorldJ8/src/com/mxgraph/model/mxGeometry.java	!wpi
METHOD	com.mpos.lottery.te.thirdpartyservice.amqp.MessageContext	getProperty(java.lang.Object)	nan	nan	url2bc31e3489_ramonli_RabbitMQResearch_tgz-pJ8-com_mpos_lottery_te_thirdpartyservice_amqp_protobuf_CancellationMessagePulisherJ8/src/com/mpos/lottery/te/thirdpartyservice/amqp/MessageContext.java	!nullgtn
PARAMETER	javax.el.MapELResolver	getFeatureDescriptors(javax.el.ELContext,java.lang.Object)	base	1	url4fdf79ae2c_beckchr_juel_tgz-pJ8-de_odysseus_el_samples_xml_sax_XMELFilterJ8/src/javax/el/MapELResolver.java	!nullgtn
METHOD	org.KonohaScript.KNameSpace	GetTokenFunc(int)	nan	nan	url901cc5721b_shidasan_KonohaCoffee_tgz-pJ8-org_KonohaScript_KonohaJ8/src/org/KonohaScript/KNameSpace.java	!nullgtn
FIELD	com.jcraft.jzlib.ZStream	nan	next_out	nan	urlfeea716362_ymnk_jzlib_tgz-pJ8-test_large_deflate_inflateJ8/src/com/jcraft/jzlib/ZStream.java	!nullgtn
PARAMETER	com.googlecode.lanterna.gui.Window	setFocus(com.googlecode.lanterna.gui.Interactable)	newFocus	0	url2114d537a2_ForNeVeR_lanterna_tgz-pJ8-com_googlecode_lanterna_test_gui_DifferentKindsOfListBoxesTestJ8/src/com/googlecode/lanterna/gui/Window.java	!nullgtn
FIELD	org.jgraph.graph.GraphLayoutCache$GraphLayoutCacheEdit	nan	previousCells	nan	url20b0f880a5_jgraph_legacy_jgraph5_tgz-pJ8-org_jgraph_example_HelloWorldJ8/src/org/jgraph/graph/GraphLayoutCache.java	!wpi
METHOD	pl.cc.real.RealCall	getConnectedAgent()	nan	nan	url2df0f7c811_przemekgalazka_legacycode_tgz-pJ8-pl_cc_core_cmd_CommandJ8/src/pl/cc/real/RealCall.java	!nullgtn
FIELD	rummikub.Client	nan	mySocket	nan	url8417b1b213_Ratchette_Rummikub_tgz-pJ8-rummikub_RummikubJ8/src/rummikub/Client.java	!nullgtn
PARAMETER	xscript.object.XTypeDataTuple	invoke(xscript.object.XRuntime,xscript.XExec,int,xscript.values.XValue,xscript.values.XValue[],java.util.List,java.util.Map)	map	6	url5583f3dbb2_XOR19_XScript_tgz-pJ8-xscript_interactive_MainJ8/src/xscript/object/XTypeDataTuple.java	!nullgtn
FIELD	hipotetizador.RegistroTD	nan	soporte	nan	url4192078a2f_unsegnor_hipotetizador_tgz-pJ8-hipotetizador_MedirTiemposJ8/src/hipotetizador/RegistroTD.java	!nullgtn
FIELD	br.odb.open688.simulation.campaign.Rank	nan	name	nan	url6f0c51b1b4_TheFakeMontyOnTheRun_open688_tgz-pJ8-br_odb_open688_app_Open688ServerJ8/src/br/odb/open688/simulation/campaign/Rank.java	!nullgtn
FIELD	net.oauth.OAuthAccessor	nan	requestToken	nan	url24d793285d_auzll_gengweibo_tgz-pJ8-org_json_TestJ8/src/net/oauth/OAuthAccessor.java	!nullgtn
METHOD	com.bigfatplayer.hello.Calculator$calculate_args$_Fields	findByName(java.lang.String)	nan	nan	urldd9e4ada6f_kirillF_sample_jenkins_project_tgz-pJ8-com_bigfatplayer_hello_AppJ8/src/com/bigfatplayer/hello/Calculator.java	!nullgtn
METHOD	de.measite.minidns.DNSMessage	getOptPseudoRecord()	nan	nan	url3426a97ee4_rtreffer_minidns_tgz-pJ8-de_measite_minidns_minidnsrepl_MiniDnsReplJ8/src/de/measite/minidns/DNSMessage.java	!nullgtn
METHOD	org.pcj.internal.futures.PeerBarrierState$PeerBarrierStateFuture	get()	nan	nan	urld856362767_hpdcj_PCJ_tgz-pJ8-org_pcj_test_StorageExampleMainJ8/src/org/pcj/internal/futures/PeerBarrierState.java	!annotator
PARAMETER	de.odysseus.el.tree.ExpressionNode	invoke(de.odysseus.el.tree.Bindings,javax.el.ELContext,java.lang.Class,java.lang.Class[],java.lang.Object[])	context	1	url4fdf79ae2c_beckchr_juel_tgz-pJ8-de_odysseus_el_samples_xml_sax_XMELFilterJ8/src/de/odysseus/el/tree/ExpressionNode.java	!annotator
METHOD	edu.luc.nmerge.mvd.Pair	getChildInVersion(short)	nan	nan	url294e6c45f3_Ecdosis_NMergeNew_tgz-pJ8-TestJ8/src/edu/luc/nmerge/mvd/Pair.java	!nullgtn
FIELD	com.github.nkzawa.socketio.parser.Packet	nan	data	nan	url6a9f553762_Bresiu_socket_io_tgz-pJ8-MainJ8/src/com/github/nkzawa/socketio/parser/Packet.java	!nullgtn
METHOD	org.jgraph.graph.GraphConstants	getLineColor(java.util.Map)	nan	nan	url20b0f880a5_jgraph_legacy_jgraph5_tgz-pJ8-org_jgraph_example_HelloWorldJ8/src/org/jgraph/graph/GraphConstants.java	!nullgtn
FIELD	cz.mff.dpp.args.examples.TimeCommand$TimeOptions	nan	command	nan	url8752fbdeb0_sixtam_args_tgz-pJ8-cz_mff_dpp_args_examples_ConstraintTestJ8/src/cz/mff/dpp/args/examples/TimeCommand.java	!nullgtn
METHOD	risiko.board.util.boardAdapterFactory$1	caseBorder(risiko.board.Border)	nan	nan	url70997c83aa_Xilaew_risiko_tgz-pJ8-risiko_XMI2XMLtransformerJ8/src/risiko/board/util/boardAdapterFactory.java	!nullgtn
PARAMETER	org.zeromq.ZThread$IAttachedRunnable	run(java.lang.Object[],org.zeromq.ZContext,org.zeromq.ZMQ.Socket)	ctx	1	url7b90c1010b_DastanIqbal_HelloZMQwithJava_tgz-pJ8-ClientJ8/src/org/zeromq/ZThread.java	!annotator
FIELD	edu.sdsu.cs652.si.baldwin.GeneticMatchResult	nan	antibody	nan	url458e40ff41_mmacfadden_java_baldwin_ga_tgz-pJ8-edu_sdsu_cs652_si_baldwin_SimulationEngineJ8/src/edu/sdsu/cs652/si/baldwin/GeneticMatchResult.java	!nullgtn
PARAMETER	org.json.JSONWriter	value(java.lang.Object)	o	0	url47087446e9_kellrott_SparqlScape_tgz-pJ8-org_json_TestJ8/src/org/json/JSONWriter.java	!nullgtn
METHOD	org.zeromq.ZMsg	recvMsg(org.zeromq.ZMQ.Socket,int)	nan	nan	url7b90c1010b_DastanIqbal_HelloZMQwithJava_tgz-pJ8-ClientJ8/src/org/zeromq/ZMsg.java	!nullgtn
PARAMETER	pl.cc.SystemCoreState	process(pl.cc.core.cmd.Command,pl.cc.ProxyTasks)	pt	1	url2df0f7c811_przemekgalazka_legacycode_tgz-pJ8-pl_cc_core_cmd_CommandJ8/src/pl/cc/SystemCoreState.java	!nullgtn
PARAMETER	com.usps.evs.vo.PicCode	setDuns(java.lang.String)	duns	0	urld025f21ac3_mvattipulusu_Innovation2013_tgz-pJ8-com_usps_data_ManifestFileTestJ8/src/com/usps/evs/vo/PicCode.java	!nullgtn
FIELD	net.madz.test.stochastic.core.impl.DefaultTestContext	nan	target	nan	urlac20d257ff_zhongdj_Madz_Stochastic_tgz-pJ8-net_madz_test_stochastic_core_impl_DynamicDemoJ8/src/net/madz/test/stochastic/core/impl/DefaultTestContext.java	!nullgtn
METHOD	book.ProductBookSide	getEntriesAtTopOfBook()	nan	nan	urlfd018a75f7_highlanderkev_StockExVirtuoso_tgz-pJ8-driver_Phase4J8/src/book/ProductBookSide.java	!nullgtn
FIELD	net.personaltt.solver.heuristics.OccurrenceConflictAllocationCost	nan	allocatingOccurrence	nan	urldee901fae6_DocX_personal_timetabling_tgz-pJ8-net_personaltt_main_BenchmarkJ8/src/net/personaltt/solver/heuristics/OccurrenceConflictAllocationCost.java	!nullgtn
